Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
IMB211_DP_1_INTERNODE	IMB211_DP_1_INTERNODE.fq	Conventional base calls	Illumina 1.5	18794.0	1.6 Mbp	0.0	44-94	46.0	99.31893157390657	88.38001489837183	94	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
IMB211_DP_1_LEAF	IMB211_DP_1_LEAF.fq	Conventional base calls	Illumina 1.5	17418.0	1.5 Mbp	0.0	44-94	46.0	98.67952692616832	88.00183717992881	94	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
IMB211_DP_1_PETIOLE	IMB211_DP_1_PETIOLE.fq	Conventional base calls	Illumina 1.5	18797.0	1.6 Mbp	0.0	44-94	45.0	99.56908017236793	88.95345001861999	94	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
IMB211_DP_1_SILIQUE	IMB211_DP_1_SILIQUE.fq	Conventional base calls	Illumina 1.5	10721.0	952.3 kbp	0.0	44-94	46.0	99.52429810651992	88.66579610110998	94	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
IMB211_DP_2_INTERNODE	IMB211_DP_2_INTERNODE.fq	Conventional base calls	Illumina 1.5	4776.0	423.5 kbp	0.0	44-94	46.0	99.85343383584589	88.5037688442211	94	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
IMB211_DP_2_LEAF	IMB211_DP_2_LEAF.fq	Conventional base calls	Illumina 1.5	18714.0	1.6 Mbp	0.0	44-94	46.0	98.47173239286096	88.5060382601261	94	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
IMB211_DP_2_PETIOLE	IMB211_DP_2_PETIOLE.fq	Conventional base calls	Illumina 1.5	12537.0	1.1 Mbp	0.0	44-94	46.0	99.5134402169578	88.5971125468613	94	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
IMB211_DP_2_SILIQUE	IMB211_DP_2_SILIQUE.fq	Conventional base calls	Illumina 1.5	18795.0	1.6 Mbp	0.0	44-94	46.0	99.3242883745677	88.5194998669859	94	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
IMB211_DP_3_INTERNODE	IMB211_DP_3_INTERNODE.fq	Conventional base calls	Illumina 1.5	16907.0	1.4 Mbp	0.0	44-94	46.0	99.16602590642928	88.2081977878985	94	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
IMB211_DP_3_LEAF	IMB211_DP_3_LEAF.fq	Conventional base calls	Illumina 1.5	21459.0	1.8 Mbp	0.0	44-94	46.0	98.62528542802553	88.1419451046181	94	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
