Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
IMB211_DP_1_INTERNODE	0.6810684260934323	46.0	88.38001489837183	94	9.090909090909092	18794.0
IMB211_DP_1_LEAF	1.3204730738316783	46.0	88.00183717992881	94	9.090909090909092	17418.0
IMB211_DP_1_PETIOLE	0.43091982763206715	45.0	88.95345001861999	94	9.090909090909092	18797.0
IMB211_DP_1_SILIQUE	0.4757018934800783	46.0	88.66579610110998	94	9.090909090909092	10721.0
IMB211_DP_2_INTERNODE	0.14656616415410895	46.0	88.5037688442211	94	9.090909090909092	4776.0
IMB211_DP_2_LEAF	1.5282676071390426	46.0	88.5060382601261	94	9.090909090909092	18714.0
IMB211_DP_2_PETIOLE	0.48655978304219616	46.0	88.5971125468613	94	9.090909090909092	12537.0
IMB211_DP_2_SILIQUE	0.6757116254322995	46.0	88.5194998669859	94	9.090909090909092	18795.0
IMB211_DP_3_INTERNODE	0.833974093570717	46.0	88.2081977878985	94	9.090909090909092	16907.0
IMB211_DP_3_LEAF	1.3747145719744651	46.0	88.1419451046181	94	9.090909090909092	21459.0
IMB211_DP_3_PETIOLE	0.3855241885337648	45.0	88.01367989056088	94	9.090909090909092	8041.0
IMB211_DP_3_SILIQUE	0.6214725093537936	46.0	88.86359312575306	94	9.090909090909092	15769.0
IMB211_FRUIT_1_FIELD	0.5531914893617085	46.0	88.7281914893617	94	9.090909090909092	18800.0
IMB211_FRUIT_2_FIELD	4.164446812289114	47.0	88.17190552299769	94	9.090909090909092	11262.0
IMB211_FRUIT_3_FIELD	9.873473268485327	47.0	87.6229064579829	94	9.090909090909092	13673.0
IMB211_LEAF_1_FIELD	0.21074815595363816	46.0	88.61749209694415	94	9.090909090909092	4745.0
IMB211_LEAF_2_FIELD	1.0032985156679501	46.0	88.53009895547004	94	9.090909090909092	14552.0
IMB211_LEAF_3_FIELD	0.7655741806354683	46.0	88.25569176882662	94	9.090909090909092	19985.0
IMB211_NDP_1_INTERNODE	0.4995113475947335	46.0	88.30318167010533	94	9.090909090909092	9209.0
IMB211_NDP_1_LEAF	1.6441086108112586	47.0	88.07473220958234	94	9.090909090909092	12043.0
IMB211_NDP_1_PETIOLE	1.552931524509944	46.0	88.9633449559026	94	9.090909090909092	34129.0
IMB211_NDP_1_SILIQUE	0.811780252973378	46.0	88.10883518973003	94	9.090909090909092	21188.0
IMB211_NDP_2_INTERNODE	0.29239766081870755	46.0	88.19782214156079	94	9.090909090909092	9918.0
IMB211_NDP_2_LEAF	0.6078528010514219	46.0	88.68325940528996	94	9.090909090909092	12174.0
IMB211_NDP_2_PETIOLE	0.612353567625135	46.0	88.59158679446219	94	9.090909090909092	15024.0
IMB211_NDP_2_SILIQUE	0.5386152375988189	46.0	88.53757275649379	94	9.090909090909092	11511.0
IMB211_NDP_3_INTERNODE	0.6773068669527902	46.0	88.54721030042919	94	9.090909090909092	14912.0
IMB211_NDP_3_LEAF	0.696145417042672	46.0	88.94456619827253	94	9.090909090909092	15514.0
