"","logFC","logCPM","LR","PValue","FDR"
"Bra010821",6.65716936949342,6.03936315656982,153.405846632152,3.12303221946061e-35,7.50589563625162e-31
"Bra033034",-4.63988506755089,6.61381734503535,71.4101823864083,2.90170818102244e-17,3.48698272113467e-13
"Bra035334",-4.14252212072364,4.67275333446004,68.1755401689407,1.495696029854e-16,1.19825194605036e-12
"Bra003598",-4.89367136557441,3.89940605195369,54.1269354862496,1.87947112024304e-13,1.12928022259803e-09
"Bra016182",7.71413467835841,6.3279185035406,49.7472442058002,1.74883653823147e-12,8.40630747197102e-09
"Bra009406",6.19965529222143,6.59194354235552,47.3859045390833,5.83004054219008e-12,2.33531990651661e-08
"Bra033856",-3.23482014792745,5.71998343850733,47.0508797764143,6.91676046544507e-12,2.37482030037867e-08
"Bra013164",4.09798493544843,9.32887463463898,46.6582883126094,8.45087914068295e-12,2.45415849085006e-08
"Bra011196",5.01773284076781,3.34844971685734,46.4939715912102,9.19007506767518e-12,2.45415849085006e-08
"Bra041036",-3.28073184783087,7.16535907580745,45.8790299888328,1.25785240217743e-11,3.02312246339323e-08
"Bra011170",6.89874650594266,2.14540634516694,43.0513449584699,5.33219488873409e-11,1.16503610868941e-07
"Bra037664",-3.02215445045165,3.8748805109997,42.7166888035432,6.32701873417671e-11,1.26719640214336e-07
"Bra002697",2.71313066756939,4.8559193253372,41.6355927230993,1.099728215146e-10,2.03314368637069e-07
"Bra025547",-3.3442841581009,5.72929847864537,41.2995415880989,1.30599516335228e-10,2.24202055400061e-07
"Bra016316",-3.43318953798195,3.10572029901843,40.5155053373056,1.95061952516693e-10,3.12541264452413e-07
"Bra019741",3.41102227387083,7.82597164406077,39.465022407432,3.33988469873177e-10,5.01692430308246e-07
"Bra020500",4.96140340503792,9.28903559483807,37.2048417072719,1.06349404634426e-09,1.50353034763753e-06
"Bra005176",5.57521826417946,5.9976962760357,37.0797491349539,1.13395280696778e-09,1.51407898681464e-06
"Bra036334",3.4269241129305,8.7767220286209,36.202374566033,1.77853712933867e-09,2.24975586139608e-06
"Bra011670",-1.91333440033957,5.18091050979871,35.963869033781,2.01010499437932e-09,2.40962617488941e-06
