"","logFC","logCPM","LR","PValue","FDR"
"Bra028803",-5.04345587697221,3.51422201681025,132.198546682923,1.35379157607616e-30,3.25370267394145e-26
"Bra019324",4.80973559529882,2.20912474961976,76.4363734363709,2.27423579402069e-18,2.73294915367466e-14
"Bra034565",4.08128703913926,2.1592987819454,68.9341457732919,1.01806802527166e-16,8.15608230645973e-13
"Bra025587",4.19091941624346,3.29871294974638,55.0440117228464,1.17860862854665e-13,7.08166994462257e-10
"Bra029946",2.28084439891708,5.36446467929753,47.801735944372,4.71574299663349e-12,1.89867496889694e-08
"Bra026156",1.76467213868568,6.46779743106566,47.5065307021674,5.48210065554716e-12,1.89867496889694e-08
"Bra030161",2.84679163518772,5.10562164131954,47.4894884820341,5.52996787146484e-12,1.89867496889694e-08
"Bra037739",2.04148229178086,4.5399575035798,47.0944102558091,6.76483409121124e-12,2.03232528185214e-08
"Bra016050",5.11923173531067,1.75533412836243,46.0118393240948,1.17540509147056e-11,3.13885399648927e-08
"Bra029042",3.49655233732265,1.24065619631801,45.5989448672934,1.45119732031564e-11,3.48780763964661e-08
"Bra035094",2.17140847120045,2.98552978622068,44.8233122481075,2.15639995750795e-11,4.7115378707951e-08
"Bra001781",2.30678570003183,3.13860459189633,44.1466289826555,3.04676035963534e-11,6.10215320695631e-08
"Bra026919",1.17695784460524,4.93312207002877,43.9039777200839,3.44887244950413e-11,6.37616926549094e-08
"Bra013011",3.23828818017991,3.75607221947506,43.026594521593,5.40007950599291e-11,9.27039363193098e-08
"Bra026157",1.25758315695438,4.79163128089748,42.8221143415496,5.99505971717224e-11,9.60568434950118e-08
"Bra031058",3.24072863976051,2.75797668803233,42.5732310596464,6.80848119969153e-11,1.02271898220866e-07
"Bra018543",1.83854134135545,6.99767053636449,41.2467766622927,1.34172920505414e-10,1.89688939495712e-07
"Bra014975",-1.87117481728227,5.06049490347706,41.1060242385704,1.44191222985552e-10,1.92527325179709e-07
"Bra033696",2.81963670484423,5.8443176681043,40.3015856719324,2.17632267820545e-10,2.75293364463104e-07
"Bra028635",1.37845099488196,4.04918846950569,39.0849901237287,4.05751516005782e-10,4.87591596784148e-07
"Bra008510",1.73000532233066,5.78906228726831,38.8587724876262,4.55601859911819e-10,5.21425481005746e-07
"Bra039212",2.45711537761766,3.36277321077485,37.0976947535102,1.12356472274258e-09,1.22744338847251e-06
"Bra035671",1.80514857632473,4.91382729349625,36.6178717862758,1.43708118514216e-09,1.46291557770973e-06
"Bra029201",2.15688649606393,4.15899467732311,36.5534159574233,1.48539431252629e-09,1.46291557770973e-06
"Bra007198",1.25564123030518,3.84392608675147,36.5063275590899,1.52171463105364e-09,1.46291557770973e-06
"Bra024638",2.01991167373337,2.39085162931157,36.0079138546334,1.96517762141949e-09,1.8165799597383e-06
"Bra033664",1.63669496041228,5.22922226027231,35.6972414208309,2.30490159251242e-09,2.05170388423865e-06
"Bra013434",3.75945151120366,1.37822261054959,35.5678207306358,2.46323218360916e-09,2.11433293931652e-06
"Bra008716",-3.988966893767,0.754907001554392,35.491920998866,2.56110625452791e-09,2.1225388869422e-06
"Bra022814",1.92351353605587,4.62772092097356,34.8852388453368,3.49722234379108e-09,2.80174139368916e-06
"Bra021887",1.45101562644272,3.83052337776396,34.4401001946033,4.395728939908e-09,3.40796610779835e-06
