# Constructed from biom file
#OTU ID	MB1	IM2	MM2	MB2	NEB1	IB2	NEM2	IM1	MM1	NEM1	NLB1	IB1	NLB2	NEE2	NLM2	IE2	NLM1	NLE2	IE1	NEB2	NLE1	ME2	ME1	NEE1
0f2f4b8891b1f24c8bb5698ec6fe921358d55600	81.0	191.0	24.0	104.0	26.0	134.0	27.0	129.0	43.0	57.0	30.0	83.0	43.0	9.0	62.0	2.0	15.0	7.0	6.0	45.0	3.0	8.0	3.0	5.0
a3b11f106460edc243c2d14554a6049e652eec74	15.0	20.0	4.0	20.0	68.0	12.0	22.0	11.0	1.0	21.0	12.0	6.0	19.0	75.0	11.0	4.0	5.0	27.0	1.0	85.0	21.0	8.0	4.0	89.0
4eddcd305ad04b61c27b8dd5fc0d7f98d49a7f96	3.0	1.0	0.0	5.0	8.0	8.0	0.0	11.0	1.0	2.0	2.0	3.0	2.0	23.0	1.0	48.0	2.0	27.0	15.0	4.0	21.0	34.0	31.0	47.0
0cb94adb2dd5ba6120e2683fcb3040f4add50515	3.0	0.0	0.0	5.0	78.0	0.0	16.0	1.0	0.0	19.0	10.0	3.0	4.0	112.0	1.0	0.0	1.0	6.0	1.0	54.0	11.0	1.0	2.0	183.0
d6c75183a76efa661e639b801173fbc35bdd89f3	19.0	49.0	4.0	26.0	55.0	28.0	28.0	67.0	15.0	46.0	38.0	23.0	39.0	118.0	34.0	34.0	15.0	62.0	12.0	32.0	59.0	29.0	25.0	141.0
73cd3a1979ce8d2c4442b343156eaba7dd77961c	5.0	27.0	0.0	2.0	4.0	24.0	7.0	21.0	9.0	23.0	29.0	70.0	72.0	2.0	75.0	1.0	17.0	3.0	3.0	5.0	0.0	0.0	0.0	0.0
1e76ea359adc9f1777126c841426ded3b6f89654	59.0	35.0	10.0	49.0	27.0	38.0	2.0	34.0	10.0	14.0	46.0	41.0	40.0	19.0	20.0	28.0	8.0	33.0	5.0	33.0	16.0	21.0	19.0	13.0
0bbb476e2f3242843684268bd64bdec70ef642bd	18.0	19.0	2.0	31.0	9.0	17.0	0.0	9.0	11.0	6.0	29.0	11.0	22.0	8.0	17.0	9.0	5.0	11.0	1.0	10.0	12.0	14.0	17.0	5.0
12f3021c565d43a1339dfe6d40ab95ecfad0e658	0.0	1.0	2.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	3.0	0.0	4.0	25.0	2.0	44.0	0.0	65.0	16.0	0.0	54.0	58.0	16.0	7.0
402b54883f5c37ee30e931edddea87b6f447f2ee	17.0	49.0	0.0	13.0	22.0	40.0	7.0	32.0	4.0	22.0	10.0	23.0	22.0	14.0	6.0	9.0	4.0	5.0	9.0	29.0	1.0	3.0	3.0	24.0
f9fa2463dce8e26e23ed7f3c3ee1d7ebd3f67017	16.0	1.0	177.0	8.0	1.0	3.0	23.0	0.0	9.0	29.0	0.0	2.0	0.0	4.0	7.0	4.0	10.0	3.0	3.0	1.0	1.0	2.0	4.0	13.0
524fad6df414cdc24745cfa0a62c18ab235d0857	3.0	3.0	0.0	6.0	13.0	1.0	0.0	3.0	0.0	6.0	4.0	1.0	1.0	57.0	1.0	18.0	0.0	20.0	9.0	7.0	23.0	23.0	17.0	40.0
e0d1ec812d243cda6ce6d893571c27c34671c209	1.0	56.0	21.0	0.0	1.0	0.0	18.0	48.0	26.0	33.0	0.0	0.0	1.0	0.0	32.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
