Feature ID	Taxon	Consensus
000367dd69463ae78b69a5b3d37d0dfcf90e7db5	d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured; s__uncultured_bacterium	0.9
0004b5f7d8eccd90801de58cfaeb7845b8683ab9	d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Desulfuromonadia; f__Geothermobacteraceae; g__Geothermobacter	0.9
00056d57de82999f8734046bb073ea9216b89873	d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Gaiellales; f__uncultured; g__uncultured; s__uncultured_bacterium	0.8
00080c49842cbd276e7b213d6f6607fd4d15065f	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__uncultured_bacterium	0.9
000dd36345f500996864dfbb7f412632c2347130	d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Holophagales; f__Holophagaceae; g__uncultured	0.6
0011beb5ee8cb2c4d4b627b39c5d08cecbeb70e1	d__Bacteria; p__Gemmatimonadota; c__S0134_terrestrial_group; o__S0134_terrestrial_group; f__S0134_terrestrial_group; g__S0134_terrestrial_group; s__uncultured_bacterium	0.7
0013fcdf89470831994d5bd3c54a8723f858bd27	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptosporangiales; f__Thermomonosporaceae; g__Actinomadura	0.9
001ac9fe12e0ebc5013dc24b54510c60b24cee94	d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Subgroup_7; f__Subgroup_7; g__Subgroup_7; s__uncultured_bacterium	0.8
001d41b22437a1d39094585b912a38b4a51df041	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Gallionellaceae; g__Sideroxydans; s__uncultured_bacterium	0.6
002a8b3c1ca0b721f98deea7f3e61fb30df4ced0	d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Anaeromyxobacteraceae; g__Anaeromyxobacter; s__uncultured_bacterium	0.8
002db86b8df9652654ffab0f75fc49e12e15c6ad	d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Anaeromyxobacteraceae; g__Anaeromyxobacter; s__uncultured_bacterium	1.0
0030440b40df8cb9f4f48506dbb0b8254e398232	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	1.0
003b8582b75bcf41edd57f828a5be30977c1d49a	d__Bacteria; p__Nitrospirota; c__Nitrospiria; o__Nitrospirales; f__Nitrospiraceae; g__Nitrospira; s__uncultured_bacterium	0.6
003c35673c217441ac6fb07fead4db9659f40e32	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Steroidobacterales; f__Steroidobacteraceae; g__uncultured; s__uncultured_bacterium	0.6
003f9e3a5c16eb84cd4fa8cb6853bc0b6cc4eb1e	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae; g__Ellin6067	1.0
00481198597f2ce8da638c587820d8ee5fbe5faa	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Marmoricola	1.0
004b4edb3bb5f6f5fd0fdd9d320c489c992b2156	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Tistrellales; f__Geminicoccaceae; g__Candidatus_Alysiosphaera; s__uncultured_bacterium	0.6
0051a5991a8dfb3b8620fea5b345a7a8d155170c	d__Bacteria	1.0
005d37c09a3cafd8ca76fd99bcd16f407a669b3d	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae; g__uncultured	0.8
005f7af21b7f9e91598f125c20883a7fdd60687a	d__Bacteria	1.0
00611dbdba9c672be056d90751c70089375b4546	d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Desulfuromonadia; f__Geothermobacteraceae; g__Geothermobacter	0.9
0066fda015866ed15c8074884fb3f8a19dd857e5	d__Bacteria	1.0
00700c9f202ebd8fd037d050bdb0af686df88f54	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	1.0
0070803b2e341e872f28f170115712ebf9bde64b	d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__uncultured_bacterium	0.9
0070cc675778aef7c46e70a66cafb71002d25c33	d__Bacteria; p__Actinobacteriota; c__MB-A2-108; o__MB-A2-108; f__MB-A2-108; g__MB-A2-108; s__uncultured_bacterium	0.9
0086ead5bd92f7656de710160ab174859641b7c1	d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__Gemmatimonas	1.0
009947c7618dedcf850fe93c45e24515cf8cb035	d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__BIrii41; g__BIrii41; s__metagenome	0.8
