sample,trt,day,rep,group
MICRB-04-1,MICRB,04,1,MICRB04
BLANK-08-1,BLANK,08,1,BLANK08
MICRB-08-1,MICRB,08,1,MICRB08
BLANK-04-1,BLANK,04,1,BLANK04
MICRB-08-2,MICRB,08,2,MICRB08
BLANK-08-2,BLANK,08,2,BLANK08
MICRB-04-2,MICRB,04,2,MICRB04
BLANK-04-2,BLANK,04,2,BLANK04
BLANK-08-3,BLANK,08,3,BLANK08
MICRB-04-3,MICRB,04,3,MICRB04
MICRB-08-3,MICRB,08,3,MICRB08
BLANK-04-3,BLANK,04,3,BLANK04
MICRB-04-4,MICRB,04,4,MICRB04
MICRB-08-4,MICRB,08,4,MICRB08
BLANK-08-4,BLANK,08,4,BLANK08
BLANK-04-4,BLANK,04,4,BLANK04
MICRB-04-5,MICRB,04,5,MICRB04
BLANK-04-5,BLANK,04,5,BLANK04
BLANK-08-5,BLANK,08,5,BLANK08
MICRB-08-5,MICRB,08,5,MICRB08
MICRB-08-6,MICRB,08,6,MICRB08
BLANK-08-6,BLANK,08,6,BLANK08
MICRB-04-6,MICRB,04,6,MICRB04
BLANK-04-6,BLANK,04,6,BLANK04
