Plant,Weight
3-1 #10 D,14.59
3-1 #11 D,14.03
3-1 #8 D,15.8
3-1 #9 D,13.74
3-2 #10 D,13.89
3-2 #12 D,15.82
3-2 #13 D,15.89
3-2 #14 D,21.73
3-2 #8 D,17.95
3-3 #10 D,14.58
3-3 #11 D,17.99
3-3 #13 D,18.44
3-3 #14 D,14.81
3-3 #9 D,15.89
3-4 #13 D,20.28
3-4 #11 D,17.91
3-4 #12 D,14.63
3-4 #14 D,15.99
3-4 #8 D,17.73
Col #10 D,14.39
Col #11 D,14.05
Col #12 D,14.63
Col #13 D,16.36
Col #4 D,17.47
Col #8 D,15.45
Col #9 D,16.52
3-1 #10 C,22.21
3-1 #11 C,22.04
3-1 #8 C,22.18
3-1 #9 C,21.8
3-2 #10 C,21.71
3-2 #12 C,20.73
3-2 #13 C,22.76
3-2 #14 C,22.29
3-2 #8 C,20.62
3-3 #10 C,22.86
3-3 #11 C,21.22
3-3 #13 C,22.95
3-3 #14 C,21.2
3-3 #9 C,21.45
3-4 #13 C,22.03
3-4 #11 C,22.92
3-4 #12 C,22.83
3-4 #14 C,21.03
3-4 #8 C,20.55
Col #10 C,21.81
Col #11 C,22.3
Col #12 C,21.92
Col #13 C,20.99
Col #4 C,21.11
Col #8 C,22.1
Col #9 C,20.3
