HAGRID,Female.maturity..days,Male.maturity..days,Gestation.Incubation..days,Birth.weight..g,Maximum.longevity..yrs,Metabolic.rate..W,Body.mass..g,Temperature..K,Log10.Body.mass..g
18,910,910,8,NA,36,0.00829,21.6,288,1.334453751150931
26,NA,NA,3,NA,10,0.00698,19.2,288,1.2833012287035497
36,365,365,2,NA,24.8,0.0303,105,293,2.0211892990699383
60,730,730,4,NA,7.8,0.00433,6.97,290.5,0.84323277809800945
85,183,NA,2,NA,30.3,0.012,63.6,288,1.8034571156484138
88,1277,730,4,NA,16,0.0134,51.2,288,1.7092699609758308
90,730,365,NA,NA,9,0.00576,21.6,289.78,1.334453751150931
111,1095,730,NA,NA,32,0.005,12.8,290,1.1072099696478683
117,1460,1460,28,NA,25,0.00196,3.21,291,0.5065050324048721
119,1460,1095,150,NA,27,0.00904,199,288,2.298853076409707
123,1825,1825,72,NA,29,0.0253,358,288,2.5538830266438746
138,1280,1280,NA,NA,15,0.00411,14.1,288,1.14921911265538
149,730,730,NA,NA,25,9.9e-5,0.76,278.5,-0.11918640771920865
152,910,910,NA,NA,20.1,0.00191,4.2,288,0.6232492903979004
175,NA,NA,NA,NA,24,0.00857,19.1,288,1.2810333672477277
192,365,365,NA,NA,20.2,0.9516,135,NA,2.130333768495006
197,1460,1460,40,110.6,48,4.9929,3000,NA,3.4771212547196626
207,365,365,33,35,22.4,2.11,658,NA,2.8182258936139557
222,NA,NA,NA,NA,42,5.1887,2860,NA,3.456366033129043
240,1095,1095,NA,NA,29,2.36428,652,NA,2.81424759573192
251,365,365,31,23.7,22.5,2.247,448,NA,2.651278013998144
256,240,240,23,23,22.6,3.9209,554,NA,2.74350976472843
257,180,180,22,15,27.1,1.68388,250,NA,2.3979400086720375
262,365,365,24,NA,35.2,2.8538,723,NA,2.859138297294531
263,365,365,26,32.8,29.1,4.068,1020,NA,3.0086001717619175
265,365,365,28,32,26.6,3.6076,904,NA,2.9561684304753633
318,730,730,NA,NA,21.1,0.4372,44.9,NA,1.6522463410033232
326,365,365,13,0.62,9.1,0.07832,3.2,NA,0.505149978319906
328,365,365,16,NA,8.5,0.1175,4.8,NA,0.6812412373755872
335,365,365,16,NA,8.9,0.06853,3.8,NA,0.5797835966168101
337,365,365,15,NA,7,0.06853,3,NA,0.47712125471966244
338,NA,NA,75,325,35,4.029,2380,NA,3.376576957056512
348,NA,NA,19,5.95,10,0.4421,72,NA,1.8573324964312685
366,1825,1825,31,NA,42.8,6.8224,956,NA,2.9804578922761
367,1862,2081,33,70.4,29,6.8224,989,NA,2.9951962915971793
370,730,730,NA,NA,13,0.416,36,NA,1.5563025007672873
385,1095,1095,NA,NA,43.3,2.91,449,NA,2.6522463410033232
388,1095,1460,35,24.8,26.2,0.788095,138.7,NA,2.1420764610732848
393,1764,1764,36,13,35.9,0.82236,98.1,NA,1.9916690073799486
400,1825,1460,26,67.5,49,4.817,1000,NA,3
403,1095,730,23,40,33.7,2.257,431,NA,2.6344772701607315
404,730,730,21,36.3,31.8,2.91742,439,NA,2.6424645202421213
412,1825,1460,27,67.5,33.9,3.43629,761,NA,2.8813846567705728
439,730,730,22,11.42,22.3,0.92,90,NA,1.954242509439325
470,300,300,20,12.2,20.9,1.066,156.7,NA,2.19506899646859
