GeneID	Length
Bra000001	1515
Bra000002	1089
Bra000003	570
Bra000004	375
Bra000005	1434
Bra000006	312
Bra000007	711
Bra000008	882
Bra000009	657
Bra000010	1134
Bra000011	1044
Bra000012	2022
Bra000013	2016
Bra000014	1842
Bra000015	1311
Bra000016	522
Bra000017	234
Bra000018	948
Bra000019	948
Bra000020	702
Bra000021	873
Bra000022	753
Bra000023	2169
Bra000024	1281
Bra000025	747
Bra000026	1023
Bra000027	1755
Bra000028	756
Bra000029	891
Bra000030	678
Bra000031	603
Bra000032	237
Bra000033	1884
Bra000034	960
Bra000035	2463
Bra000036	690
Bra000037	2301
Bra000038	894
Bra000039	1599
Bra000040	201
Bra000041	753
Bra000042	768
Bra000043	1374
Bra000044	3876
Bra000045	1062
Bra000046	885
Bra000047	885
Bra000048	2805
Bra000049	183
Bra000050	1284
Bra000051	174
Bra000052	624
Bra000053	1224
Bra000054	714
Bra000055	1533
Bra000056	669
Bra000057	1467
Bra000058	1053
Bra000059	1047
Bra000060	1431
Bra000061	363
Bra000062	1980
Bra000063	426
Bra000064	1422
Bra000065	549
Bra000066	1293
Bra000067	1071
Bra000068	387
Bra000069	1107
Bra000070	1068
Bra000071	1596
Bra000072	654
Bra000073	495
Bra000074	771
Bra000075	717
Bra000076	759
Bra000077	939
Bra000078	243
Bra000079	591
Bra000080	588
Bra000081	1860
Bra000082	468
Bra000083	1059
Bra000084	1134
Bra000085	936
Bra000086	618
Bra000087	1575
Bra000088	645
Bra000089	750
Bra000090	948
Bra000091	960
Bra000092	1413
Bra000093	585
Bra000094	1290
Bra000095	324
Bra000096	1485
Bra000097	405
Bra000098	930
Bra000099	765
Bra000100	1809
Bra000101	213
Bra000102	1101
Bra000103	1296
Bra000104	165
Bra000105	1701
Bra000106	1002
Bra000107	1608
Bra000108	2217
Bra000109	1476
Bra000110	1431
Bra000111	867
Bra000112	705
Bra000113	1083
Bra000114	9828
Bra000115	981
Bra000116	813
Bra000117	1089
Bra000118	705
Bra000119	2295
Bra000120	2469
Bra000121	780
Bra000122	1653
Bra000123	297
Bra000124	1803
Bra000125	1452
Bra000126	3528
Bra000127	906
Bra000128	2385
Bra000129	1365
Bra000130	2457
Bra000131	615
Bra000132	921
Bra000133	891
Bra000134	1374
Bra000135	453
Bra000136	4212
Bra000137	648
Bra000138	2511
Bra000139	1011
Bra000140	909
Bra000141	1182
Bra000142	498
Bra000143	1128
Bra000144	1428
Bra000145	2037
Bra000146	195
Bra000147	1149
Bra000148	663
Bra000149	1206
Bra000150	2148
Bra000151	831
Bra000152	1545
Bra000153	1473
Bra000154	1968
Bra000155	1302
Bra000156	1773
Bra000157	882
Bra000158	1275
Bra000159	960
Bra000160	1365
Bra000161	654
Bra000162	6180
Bra000163	795
Bra000164	1830
Bra000165	345
Bra000166	1629
Bra000167	774
Bra000168	1821
Bra000169	2781
Bra000170	396
Bra000171	1254
Bra000172	1242
Bra000173	267
Bra000174	1098
Bra000175	1395
Bra000176	1548
Bra000177	702
Bra000178	1011
Bra000179	1293
Bra000180	1170
Bra000181	1755
Bra000182	1029
Bra000183	1212
Bra000184	639
Bra000185	624
Bra000186	630
Bra000187	1755
Bra000188	600
Bra000189	258
Bra000190	1425
Bra000191	306
Bra000192	783
Bra000193	390
Bra000194	774
Bra000195	1005
Bra000196	1329
Bra000197	1029
Bra000198	1059
Bra000199	486
Bra000200	2553
Bra000201	2394
Bra000202	903
Bra000203	1023
Bra000204	177
Bra000205	1002
Bra000206	1017
Bra000207	954
Bra000208	1590
Bra000209	1968
Bra000210	285
Bra000211	1527
Bra000212	1182
Bra000213	2124
Bra000214	450
Bra000215	1704
Bra000216	426
Bra000217	1563
Bra000218	486
Bra000219	2322
Bra000220	4761
Bra000221	204
Bra000222	1038
Bra000223	1110
Bra000224	651
Bra000225	1206
Bra000226	897
Bra000227	375
Bra000228	984
Bra000229	1323
Bra000230	855
Bra000231	978
Bra000232	939
Bra000233	873
Bra000234	1536
Bra000235	720
Bra000236	5529
Bra000237	1392
Bra000238	2838
Bra000239	645
Bra000240	2301
Bra000241	708
Bra000242	849
Bra000243	387
Bra000244	186
Bra000245	747
Bra000246	474
Bra000247	2184
Bra000248	1095
Bra000249	924
Bra000250	1005
Bra000251	807
Bra000252	819
Bra000253	837
Bra000254	723
Bra000255	201
Bra000256	1089
Bra000257	717
Bra000258	924
Bra000259	861
Bra000260	2367
Bra000261	2394
Bra000262	990
Bra000263	429
Bra000264	222
Bra000265	390
Bra000266	534
Bra000267	2019
Bra000268	789
Bra000269	534
Bra000270	867
Bra000271	648
Bra000272	429
Bra000273	270
Bra000274	1221
Bra000275	186
Bra000276	351
Bra000277	1938
Bra000278	1167
Bra000279	2364
Bra000280	1017
